,TOXICITY,deaf
525,0.690275788,3
398,0.372296005,3
800,0.95228523,3
761,0.187960744,3
936,0.902898431,3
642,0.372296005,3
843,0.736887753,3
1156,0.360975266,3
1270,0.345757544,3
871,0.031451099,3
1157,0.278274506,3
1399,0.956047118,3
217,0.816484094,3
1155,0.360975266,3
4,0.109612994,3
1473,0.872855186,3
910,0.920223475,3
355,0.072332315,3
1240,0.887038708,3
327,0.872855186,3
856,0.950175345,3
138,0.908921003,3
516,0.375811279,3
1035,0.187820703,3
51,0.887038708,3
1122,0.214124158,3
29,0.817674994,3
87,0.293639034,3
329,0.270306379,3
847,0.257880718,3
1350,0.432520777,3
67,0.960043967,3
864,0.270306379,3
1281,0.360975266,3
451,0.960043967,3
1063,0.956047118,3
38,0.11110913,3
1422,0.051143911,3
218,0.432520777,3
1479,0.041406706,3
1048,0.181121677,3
11,0.065230019,3
838,0.653122962,3
300,0.908921003,3
612,0.961456835,3
187,0.051143911,3
219,0.11435809,3
736,0.880025566,3
754,0.360975266,3
388,0.044480793,3
727,0.543259263,3
1016,0.270306379,3
715,0.782198191,3
1196,0.922532856,3
768,0.653122962,3
789,0.051143911,3
177,0.093461998,3
733,0.117548816,3
364,0.749203205,3
144,0.754546404,3
269,0.974135041,3
598,0.950175345,3
1033,0.653122962,3
369,0.956047118,3
140,0.066100329,3
397,0.432520777,3
614,0.072332315,3
1128,0.270306379,3
673,0.270306379,3
1243,0.345757544,3
194,0.11435809,3
893,0.942619443,3
663,0.782198191,3
1495,0.963675678,3
1204,0.887116849,3
882,0.238480464,3
1120,0.782198191,3
1326,0.293639034,3
85,0.05878827,3
1398,0.187820703,3
1103,0.372296005,3
1219,0.653122962,3
1129,0.887116849,3
997,0.902898431,3
1135,0.11435809,3
849,0.944357216,3
395,0.360975266,3
1043,0.663137794,3
1189,0.254581004,3
907,0.372296005,3
771,0.736887753,3
562,0.974135041,3
68,0.372296005,3
1483,0.685794175,3
153,0.974135041,3
1210,0.908921003,3
635,0.187820703,3
1480,0.93608135,3
1275,0.956047118,3
699,0.345757544,3
399,0.11435809,3
139,0.372296005,3
824,0.653122962,3
43,0.908921003,3
1202,0.956047118,3
381,0.293639034,3
576,0.360975266,3
734,0.187820703,3
1444,0.187820703,3
640,0.181121677,3
786,0.847554326,3
981,0.840206027,3
455,0.653122962,3
440,0.942619443,3
306,0.934607327,3
860,0.922532856,3
1462,0.922532856,3
278,0.902898431,3
305,0.093461998,3
1074,0.974135041,3
209,0.908921003,3
362,0.372296005,3
1154,0.942619443,3
435,0.066100329,3
368,0.922692776,3
601,0.960043967,3
137,0.238480464,3
1329,0.072332315,3
1287,0.872855186,3
197,0.961456835,3
447,0.939510882,3
903,0.360975266,3
1233,0.939510882,3
947,0.908921003,3
1307,0.372296005,3
1320,0.58532089,3
414,0.896190822,3
1385,0.891265333,3
785,0.803101361,3
1306,0.072332315,3
227,0.432520777,3
802,0.942619443,3
1181,0.887038708,3
536,0.653122962,3
757,0.961456835,3
366,0.488559842,3
647,0.887116849,3
1142,0.238480464,3
884,0.887038708,3
1060,0.045473021,3
723,0.432520777,3
1312,0.782198191,3
426,0.372296005,3
1152,0.960043967,3
1257,0.908921003,3
1476,0.066100329,3
264,0.051143911,3
1489,0.33025828,3
1027,0.956047118,3
73,0.961456835,3
753,0.902898431,3
222,0.961456835,3
203,0.766288161,3
1299,0.961456835,3
342,0.270306379,3
24,0.01258509,3
1004,0.162078604,3
347,0.956047118,3
1360,0.187820703,3
1138,0.072332315,3
1055,0.293639034,3
410,0.782198191,3
490,0.900929034,3
739,0.887116849,3
1423,0.950175345,3
346,0.372296005,3
962,0.432520777,3
1011,0.968584955,3
1017,0.238480464,3
1203,0.181121677,3
294,0.238480464,3
457,0.58532089,3
586,0.270306379,3
661,0.072332315,3
1082,0.90719676,3
1416,0.238480464,3
291,0.954391062,3
1148,0.58532089,3
858,0.736887753,3
909,0.960043967,3
15,0.128696516,3
510,0.051143911,3
314,0.736887753,3
7,0.03047134,3
974,0.887116849,3
1410,0.950175345,3
1104,0.974135041,3
1355,0.902898431,3
1453,0.051143911,3
1106,0.961456835,3
1075,0.956047118,3
251,0.345757544,3
945,0.902898431,3
812,0.345757544,3
628,0.908921003,3
1343,0.33001551,3
545,0.187820703,3
1378,0.072332315,3
492,0.736887753,3
1271,0.653122962,3
42,0.181121677,3
984,0.066100329,3
78,0.691960573,3
1417,0.942619443,3
471,0.360975266,3
658,0.58532089,3
744,0.728212059,3
1380,0.960043967,3
584,0.270306379,3
603,0.950175345,3
1488,0.977860212,3
555,0.187820703,3
1403,0.956047118,3
1268,0.238480464,3
1365,0.061120614,3
1354,0.518498719,3
377,0.259231389,3
752,0.360975266,3
1397,0.857671499,3
279,0.684221447,3
934,0.066100329,3
1140,0.138889283,3
608,0.238480464,3
400,0.929375052,3
1236,0.360975266,3
247,0.360975266,3
1413,0.432520777,3
694,0.238480464,3
1093,0.150272876,3
1193,0.58532089,3
501,0.072332315,3
108,0.736887753,3
709,0.653122962,3
1310,0.736887753,3
537,0.782198191,3
82,0.902898431,3
475,0.119810008,3
2,0.30755347,3
1282,0.974135041,3
526,0.939510882,3
215,0.072332315,3
371,0.902898431,3
831,0.902898431,3
821,0.950175345,3
318,0.360975266,3
682,0.293639034,3
452,0.58532089,3
677,0.051143911,3
851,0.782198191,3
946,0.908921003,3
335,0.238480464,3
1113,0.066100329,3
96,0.653122962,3
1185,0.095507659,3
1009,0.258479685,3
1256,0.11435809,3
625,0.974135041,3
553,0.20552285,3
1109,0.270306379,3
1474,0.736887753,3
680,0.727344811,3
1335,0.942619443,3
352,0.807709873,3
101,0.872855186,3
1468,0.782198191,3
28,0.696761012,3
1446,0.960043967,3
1034,0.895130694,3
1363,0.270306379,3
965,0.329783618,3
188,0.857586205,3
507,0.736887753,3
662,0.11435809,3
1159,0.372296005,3
1504,0.226434186,3
428,0.939510882,3
986,0.360975266,3
532,0.922532856,3
854,0.051143911,3
331,0.939510882,3
1280,0.11435809,3
839,0.093461998,3
1414,0.961456835,3
1428,0.093461998,3
1250,0.974135041,3
940,0.432520777,3
244,0.11435809,3
571,0.959914446,3
118,0.950175345,3
950,0.238480464,3
1323,0.658375144,3
979,0.922532856,3
373,0.051143911,3
896,0.876864254,3
1330,0.187820703,3
113,0.360975266,3
923,0.960043967,3
570,0.902898431,3
917,0.270306379,3
245,0.745712399,3
954,0.974135041,3
157,0.372296005,3
163,0.159085825,3
6,0.150509447,3
1184,0.872855186,3
1404,0.238480464,3
675,0.051143911,3
889,0.922532856,3
1420,0.093461998,3
122,0.908921003,3
1069,0.922532856,3
322,0.11435809,3
1394,0.653122962,3
275,0.187820703,3
1283,0.360975266,3
439,0.956047118,3
198,0.441941738,3
687,0.345757544,3
408,0.887038708,3
1505,0.967850506,3
459,0.961456835,3
620,0.042712685,3
1079,0.072332315,3
337,0.187820703,3
431,0.850866556,3
646,0.432520777,3
350,0.234129354,3
617,0.58532089,3
356,0.939510882,3
1201,0.270306379,3
701,0.961456835,3
143,0.961456835,3
124,0.798829615,3
483,0.872855186,3
273,0.516749859,3
201,0.58532089,3
937,0.950175345,3
1064,0.653122962,3
178,0.782198191,3
897,0.41264233,3
552,0.360975266,3
63,0.432520777,3
1376,0.181121677,3
973,0.809676349,3
705,0.950175345,3
336,0.887116849,3
460,0.922532856,3
631,0.051143911,3
61,0.956047118,3
801,0.58532089,3
427,0.887116849,3
285,0.432520777,3
434,0.887116849,3
79,0.827987194,3
833,0.960043967,3
1357,0.187820703,3
1208,0.181121677,3
1182,0.072332315,3
75,0.941647589,3
689,0.932807982,3
773,0.902898431,3
1503,0.72670269,3
52,0.960043967,3
123,0.902898431,3
582,0.736887753,3
881,0.293639034,3
12,0.052131962,3
1237,0.181121677,3
1456,0.942619443,3
861,0.974135041,3
905,0.251539946,3
1409,0.255106091,3
1324,0.653122962,3
394,0.942619443,3
171,0.293639034,3
107,0.912243962,3
676,0.939510882,3
191,0.181121677,3
764,0.956047118,3
59,0.141974092,3
1207,0.372296005,3
836,0.630637825,3
1317,0.215551421,3
133,0.072332315,3
1370,0.889051855,3
822,0.950175345,3
396,0.736887753,3
1321,0.887038708,3
1295,0.029455081,3
260,0.360975266,3
27,0.69086802,3
867,0.960043967,3
643,0.270306379,3
873,0.432520777,3
952,0.902898431,3
1230,0.902898431,3
1066,0.736887753,3
890,0.887038708,3
759,0.950175345,3
708,0.58532089,3
1130,0.680089295,3
503,0.58532089,3
930,0.58532089,3
749,0.922532856,3
93,0.939510882,3
829,0.063812621,3
1325,0.061090276,3
91,0.920934379,3
948,0.907383382,3
47,0.956047118,3
842,0.081553362,3
1500,0.325697958,3
515,0.432520777,3
1191,0.432520777,3
445,0.181121677,3
544,0.887116849,3
920,0.030722605,3
402,0.950175345,3
1512,0.967042029,3
748,0.11435809,3
844,0.093461998,3
713,0.939510882,3
959,0.066100329,3
1242,0.974135041,3
257,0.922532856,3
376,0.908921003,3
691,0.072332315,3
1002,0.084499359,3
202,0.238480464,3
505,0.270306379,3
976,0.079936959,3
132,0.956047118,3
1421,0.956047118,3
1041,0.960726798,3
64,0.887116849,3
1239,0.360975266,3
290,0.093461998,3
173,0.111357957,3
420,0.076596536,3
938,0.902898431,3
466,0.961456835,3
815,0.736887753,3
468,0.094757773,3
176,0.360975266,3
1209,0.066100329,3
142,0.922030509,3
1037,0.942619443,3
1498,0.959182501,3
998,0.181121677,3
650,0.908921003,3
1284,0.181121677,3
1111,0.130003452,3
1440,0.942619443,3
111,0.782198191,3
1304,0.238480464,3
724,0.066100329,3
8,0.02128887,3
380,0.922532856,3
379,0.922532856,3
1315,0.093461998,3
53,0.372296005,3
205,0.908921003,3
358,0.942619443,3
806,0.072332315,3
254,0.432520777,3
1144,0.902898431,3
623,0.293639034,3
1253,0.911068559,3
293,0.277855843,3
1076,0.782198191,3
573,0.950175345,3
1205,0.950175345,3
1,0.136357471,3
1407,0.922532856,3
569,0.736887753,3
1361,0.939510882,3
672,0.360975266,3
961,0.872855186,3
899,0.066100329,3
161,0.345757544,3
1367,0.922532856,3
26,0.027537804,3
120,0.862432361,3
270,0.187820703,3
1010,0.817227721,3
622,0.950175345,3
770,0.950175345,3
341,0.927201986,3
462,0.360975266,3
1452,0.190068379,3
814,0.939510882,3
480,0.172727987,3
1228,0.908921003,3
556,0.961456835,3
574,0.051143911,3
267,0.956047118,3
725,0.782198191,3
156,0.961456835,3
845,0.360975266,3
328,0.58532089,3
1373,0.187820703,3
657,0.051143911,3
1400,0.270306379,3
95,0.939510882,3
1427,0.360975266,3
444,0.112010412,3
1119,0.872855186,3
777,0.736887753,3
769,0.093461998,3
186,0.066100329,3
392,0.452409834,3
84,0.161187291,3
758,0.048972692,3
589,0.887116849,3
837,0.293639034,3
403,0.939510882,3
60,0.887116849,3
731,0.782198191,3
1390,0.066100329,3
454,0.11435809,3
3,0.322414666,3
412,0.950175345,3
1478,0.887116849,3
477,0.960043967,3
1158,0.178561866,3
840,0.58532089,3
304,0.360975266,3
750,0.736887753,3
1437,0.051143911,3
415,0.395980448,3
374,0.950175345,3
1007,0.87964195,3
1448,0.782198191,3
502,0.974135041,3
382,0.908921003,3
393,0.181121677,3
321,0.653122962,3
181,0.653122962,3
747,0.890859842,3
332,0.942619443,3
1150,0.961456835,3
345,0.950175345,3
1379,0.602421582,3
1342,0.974135041,3
1273,0.181121677,3
852,0.11435809,3
249,0.051143911,3
1358,0.593361676,3
799,0.942619443,3
77,0.58532089,3
855,0.051143911,3
1458,0.653122962,3
549,0.072332315,3
539,0.345757544,3
960,0.360975266,3
50,0.360975266,3
597,0.11435809,3
794,0.960043967,3
684,0.931010544,3
559,0.360975266,3
1162,0.887116849,3
1086,0.950175345,3
1008,0.360975266,3
1059,0.942619443,3
1439,0.902898431,3
1223,0.293639034,3
1426,0.922532856,3
338,0.072332315,3
688,0.960043967,3
484,0.908921003,3
344,0.11435809,3
1123,0.58532089,3
1174,0.345757544,3
1231,0.968716264,3
665,0.135991424,3
45,0.707916379,3
1143,0.372296005,3
208,0.360975266,3
333,0.908921003,3
199,0.270306379,3
901,0.58532089,3
621,0.872855186,3
1224,0.949374735,3
1222,0.961456835,3
616,0.11435809,3
1124,0.187820703,3
1081,0.432520777,3
1364,0.939510882,3
1449,0.908921003,3
179,0.345757544,3
1176,0.887038708,3
1127,0.851524055,3
798,0.58532089,3
630,0.114271387,3
351,0.653122962,3
964,0.372296005,3
522,0.887038708,3
1211,0.887116849,3
418,0.152185649,3
83,0.432520777,3
86,0.093461998,3
44,0.044328522,3
1084,0.176924497,3
309,0.908921003,3
33,0.052131962,3
970,0.761235297,3
928,0.58532089,3
266,0.193325385,3
448,0.187820703,3
1467,0.782198191,3
1188,0.58532089,3
470,0.736887753,3
1024,0.238480464,3
319,0.372296005,3
74,0.371022046,3
904,0.372296005,3
182,0.066100329,3
932,0.922532856,3
1466,0.516749859,3
1136,0.653122962,3
1030,0.974135041,3
206,0.11435809,3
1391,0.372296005,3
834,0.432520777,3
969,0.974135041,3
183,0.293639034,3
1213,0.956047118,3
97,0.902898431,3
787,0.093461998,3
535,0.836268425,3
1252,0.922532856,3
301,0.066100329,3
577,0.270306379,3
243,0.902898431,3
1265,0.653122962,3
1212,0.961456835,3
1408,0.58532089,3
868,0.270306379,3
229,0.372296005,3
835,0.653122962,3
1463,0.887116849,3
1215,0.942619443,3
1347,0.58532089,3
1267,0.345757544,3
310,0.161346883,3
991,0.960043967,3
340,0.887116849,3
1322,0.872855186,3
1486,0.881661713,3
720,0.360975266,3
165,0.238480464,3
72,0.372296005,3
575,0.960043967,3
406,0.130692825,3
534,0.908921003,3
668,0.051143911,3
1482,0.984064996,3
35,0.628449976,3
1328,0.066100329,3
236,0.039964452,3
14,0.802215517,3
175,0.761114776,3
1235,0.960043967,3
425,0.11435809,3
735,0.293639034,3
563,0.653122962,3
737,0.270306379,3
1405,0.961456835,3
232,0.16566889,3
859,0.293639034,3
941,0.293639034,3
781,0.83280164,3
433,0.051143911,3
1441,0.11435809,3
184,0.908921003,3
1248,0.181121677,3
1375,0.142556757,3
992,0.961456835,3
560,0.293639034,3
1220,0.887116849,3
1261,0.293639034,3
390,0.051143911,3
1125,0.920121789,3
711,0.942619443,3
613,0.187820703,3
348,0.922532856,3
1112,0.181121677,3
922,0.949920118,3
1046,0.961456835,3
841,0.736887753,3
1065,0.887038708,3
1494,0.978703797,3
286,0.912432492,3
807,0.872855186,3
159,0.950175345,3
1351,0.955865502,3
818,0.072332315,3
167,0.782198191,3
370,0.950175345,3
126,0.902898431,3
491,0.942619443,3
915,0.11435809,3
1374,0.887116849,3
1058,0.872855186,3
1383,0.072332315,3
1244,0.942619443,3
1115,0.922532856,3
1245,0.974135041,3
853,0.872855186,3
594,0.3314915,3
541,0.151176706,3
660,0.091103591,3
103,0.679755628,3
112,0.181121677,3
407,0.956047118,3
702,0.887116849,3
581,0.454376757,3
102,0.942619443,3
644,0.58532089,3
419,0.181121677,3
919,0.432520777,3
239,0.939510882,3
1180,0.908921003,3
473,0.950175345,3
1471,0.372296005,3
41,0.496293306,3
674,0.922532856,3
1442,0.238480464,3
488,0.432520777,3
437,0.066100329,3
10,0.559734523,3
1418,0.960043967,3
39,0.38711521,3
180,0.270306379,3
592,0.863179922,3
1432,0.187820703,3
1099,0.297339231,3
664,0.345757544,3
1101,0.432520777,3
542,0.49718684,3
485,0.872855186,3
670,0.960043967,3
1492,0.675607383,3
1116,0.130787,3
1502,0.789685607,3
330,0.603286505,3
820,0.903164387,3
634,0.949953079,3
588,0.107628815,3
271,0.192576453,3
828,0.093461998,3
1346,0.887116849,3
464,0.066100329,3
1164,0.360975266,3
751,0.908921003,3
803,0.345757544,3
1433,0.181121677,3
817,0.093461998,3
326,0.093461998,3
1339,0.923028469,3
792,0.051143911,3
1311,0.345757544,3
1425,0.11435809,3
226,0.162078604,3
1459,0.782198191,3
299,0.908921003,3
1218,0.908921003,3
1097,0.960043967,3
692,0.130003452,3
1038,0.653122962,3
1395,0.093461998,3
972,0.066100329,3
653,0.939510882,3
655,0.887038708,3
1018,0.051143911,3
1382,0.887038708,3
1161,0.066100329,3
1241,0.949305475,3
1305,0.902898431,3
1146,0.882790387,3
1025,0.345757544,3
816,0.961456835,3
384,0.270306379,3
308,0.908921003,3
88,0.58532089,3
543,0.72041446,3
141,0.101259843,3
296,0.872855186,3
302,0.887038708,3
728,0.956047118,3
710,0.411501288,3
695,0.961456835,3
530,0.736887753,3
1173,0.902898431,3
1368,0.887038708,3
1469,0.922532856,3
766,0.345757544,3
1100,0.051143911,3
1167,0.811109841,3
1269,0.956047118,3
1411,0.902898431,3
1436,0.95844698,3
999,0.974135041,3
467,0.430757463,3
315,0.270306379,3
150,0.887038708,3
277,0.942619443,3
921,0.293639034,3
805,0.950235009,3
1509,0.972359657,3
1337,0.497012734,3
1108,0.360975266,3
765,0.902898431,3
1053,0.736887753,3
71,0.736887753,3
1186,0.939510882,3
876,0.360975266,3
1272,0.713348806,3
189,0.736887753,3
1003,0.942619443,3
1277,0.093461998,3
1094,0.238480464,3
1300,0.943144023,3
1001,0.441889226,3
482,0.956047118,3
1042,0.181121677,3
514,0.894730568,3
121,0.061120614,3
968,0.872855186,3
55,0.922532856,3
1105,0.040782284,3
1160,0.960043967,3
975,0.782198191,3
696,0.942619443,3
37,0.051036716,3
230,0.942619443,3
367,0.345757544,3
1040,0.372296005,3
875,0.950175345,3
564,0.238480464,3
1068,0.293639034,3
263,0.238480464,3
1506,0.685794175,3
1036,0.908921003,3
1434,0.360975266,3
755,0.293639034,3
784,0.084499359,3
116,0.181121677,3
746,0.187820703,3
1393,0.372296005,3
1072,0.6493572,3
548,0.281449258,3
963,0.11435809,3
456,0.872855186,3
1396,0.657598019,3
721,0.187820703,3
1493,0.717111588,3
832,0.432520777,3
1175,0.08331427,3
493,0.887038708,3
925,0.960043967,3
1484,0.985996306,3
298,0.956047118,3
1327,0.293639034,3
600,0.187820703,3
1278,0.7071172,3
1085,0.961425185,3
980,0.360975266,3
46,0.432520777,3
1289,0.11435809,3
939,0.754354358,3
712,0.181121677,3
166,0.887038708,3
114,0.325663477,3
706,0.116066873,3
131,0.942619443,3
389,0.460958451,3
149,0.974135041,3
1141,0.950175345,3
1366,0.345757544,3
971,0.887116849,3
641,0.782198191,3
424,0.432520777,3
1352,0.181121677,3
551,0.782198191,3
738,0.974135041,3
499,0.849298835,3
1344,0.031819008,3
606,0.360975266,3
463,0.961456835,3
659,0.372296005,3
70,0.49162221,3
1217,0.908921003,3
324,0.653122962,3
115,0.736887753,3
1087,0.948390067,3
732,0.345757544,3
256,0.960043967,3
